Marca,Modelo,Año,Tipo_Combustible,Potencia_HP,Cilindros,Tipo_Transmision,Categoria_Mercado,Tamaño_Vehiculo,Vehicle Style,KPL_Carretera,KPL_Ciudad,Precio,Consumo_KPL_Carretera
Bentley,Continental,2003,premium unleaded (required),420.0,8.0,AUTOMATIC,"Exotic,Luxury,Performance",Large,Coupe,6.37716,4.2514400000000006,328990,Bajo
Bentley,Continental,2003,premium unleaded (required),420.0,8.0,AUTOMATIC,"Exotic,Factory Tuner,Luxury,Performance",Large,Coupe,6.37716,4.2514400000000006,318990,Bajo
Lincoln,Continental,2001,regular unleaded,275.0,8.0,AUTOMATIC,Luxury,Large,Sedan,9.778312,6.37716,39660,Bajo
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,Luxury,Large,Sedan,9.778312,6.37716,39895,Bajo
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,Luxury,Large,Sedan,9.778312,6.37716,38185,Bajo
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,Luxury,Large,Sedan,9.778312,6.37716,38790,Bajo
Lincoln,Continental,2002,premium unleaded (required),275.0,8.0,AUTOMATIC,Luxury,Large,Sedan,9.778312,6.37716,39775,Bajo
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,Luxury,Large,Sedan,11.053744,7.227448000000001,44560,Bajo
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,Luxury,Large,Sedan,10.203456000000001,6.802304,46560,Bajo
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,Luxury,Large,Sedan,10.203456000000001,6.802304,49515,Bajo
Lincoln,Continental,2017,premium unleaded (recommended),,6.0,AUTOMATIC,Luxury,Large,Sedan,10.6286,7.227448000000001,55915,Bajo
Lincoln,Continental,2017,premium unleaded (recommended),,6.0,AUTOMATIC,Luxury,Large,Sedan,11.478888000000001,7.652592,62915,Bajo
Lincoln,Continental,2017,premium unleaded (recommended),,6.0,AUTOMATIC,Luxury,Large,Sedan,11.478888000000001,7.652592,53915,Bajo
Lincoln,Continental,2017,premium unleaded (recommended),,6.0,AUTOMATIC,Luxury,Large,Sedan,10.6286,7.227448000000001,64915,Bajo
Lincoln,Continental,2017,regular unleaded,305.0,6.0,AUTOMATIC,Luxury,Large,Sedan,11.053744,7.227448000000001,47515,Bajo
Ford,Contour SVT,1998,regular unleaded,195.0,6.0,MANUAL,"Factory Tuner,Performance",Midsize,Sedan,11.053744,7.227448000000001,2655,Bajo
Ford,Contour SVT,1999,regular unleaded,200.0,6.0,MANUAL,"Factory Tuner,Performance",Midsize,Sedan,11.053744,7.227448000000001,2702,Bajo
Ford,Contour SVT,2000,regular unleaded,200.0,6.0,MANUAL,"Factory Tuner,Performance",Midsize,Sedan,11.478888000000001,7.652592,2937,Bajo
Ford,Contour,1998,regular unleaded,125.0,4.0,MANUAL,,Midsize,Sedan,13.604608,8.928024,2000,Bajo
Ford,Contour,1999,regular unleaded,125.0,4.0,MANUAL,,Midsize,Sedan,13.179464000000001,8.928024,2000,Bajo
Ford,Contour,2000,regular unleaded,170.0,6.0,MANUAL,,Midsize,Sedan,11.478888000000001,7.652592,2000,Bajo
Ford,Contour,2000,regular unleaded,125.0,4.0,MANUAL,,Midsize,Sedan,13.179464000000001,8.928024,2079,Bajo
Rolls-Royce,Corniche,2001,premium unleaded (required),325.0,8.0,AUTOMATIC,"Exotic,Luxury",Large,Convertible,6.37716,4.2514400000000006,359990,Bajo
Toyota,Corolla iM,2017,regular unleaded,137.0,4.0,MANUAL,Hatchback,Compact,4dr Hatchback,14.880040000000001,11.478888000000001,18750,Bajo
Toyota,Corolla iM,2017,regular unleaded,137.0,4.0,AUTOMATIC,Hatchback,Compact,4dr Hatchback,15.305184,11.904032,19490,Medio 
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.856048,12.75432,18965,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,16.155472,12.329176,18965,Medio 
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.005760000000002,12.75432,19665,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,19895,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.305184,11.478888000000001,17550,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,MANUAL,,Compact,Sedan,15.730328,11.904032,16950,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,MANUAL,,Compact,Sedan,15.730328,11.904032,21495,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,16.155472,12.329176,22025,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,22955,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,19195,Medio 
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.005760000000002,12.75432,22725,Medio 
Toyota,Corolla,2015,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,16.155472,12.329176,18565,Medio 
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.856048,12.75432,19135,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,16.155472,12.329176,19135,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,20065,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,MANUAL,,Compact,Sedan,15.730328,11.904032,17300,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,23125,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,MANUAL,,Compact,Sedan,15.730328,11.904032,21665,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,16.155472,12.329176,22195,Medio 
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.005760000000002,12.75432,19835,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,20635,Medio 
Toyota,Corolla,2016,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.005760000000002,12.75432,22895,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.305184,11.478888000000001,17900,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,16.155472,12.329176,18735,Medio 
Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.730328,12.329176,19365,Medio 
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,14.880040000000001,11.904032,22680,Bajo
Toyota,Corolla,2017,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.005760000000002,12.75432,21300,Medio 
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.305184,11.904032,18500,Medio 
Toyota,Corolla,2017,regular unleaded,132.0,4.0,MANUAL,,Compact,Sedan,14.880040000000001,11.478888000000001,21665,Bajo
Toyota,Corolla,2017,regular unleaded,140.0,4.0,AUTOMATIC,,Compact,Sedan,17.005760000000002,12.75432,19335,Medio 
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,14.880040000000001,11.904032,21900,Bajo
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.305184,11.904032,21825,Medio 
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,15.305184,11.904032,18935,Medio 
Toyota,Corolla,2017,regular unleaded,132.0,4.0,AUTOMATIC,,Compact,Sedan,14.880040000000001,11.904032,20445,Bajo
Volkswagen,Corrado,1992,regular unleaded,158.0,4.0,MANUAL,"Hatchback,Performance",Compact,2dr Hatchback,11.053744,7.652592,2000,Bajo
Volkswagen,Corrado,1992,regular unleaded,178.0,6.0,MANUAL,"Hatchback,Performance",Compact,2dr Hatchback,9.778312,6.802304,2000,Bajo
Volkswagen,Corrado,1993,regular unleaded,178.0,6.0,MANUAL,"Hatchback,Performance",Compact,2dr Hatchback,9.778312,6.802304,2000,Bajo
Volkswagen,Corrado,1994,regular unleaded,178.0,6.0,MANUAL,"Hatchback,Performance",Compact,2dr Hatchback,9.353168,6.802304,2000,Bajo
Chevrolet,Corsica,1994,regular unleaded,120.0,4.0,AUTOMATIC,,Compact,Sedan,11.904032,9.353168,2000,Bajo
Chevrolet,Corsica,1996,regular unleaded,120.0,4.0,AUTOMATIC,,Compact,Sedan,12.329176,8.928024,2000,Bajo
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,53000,Bajo
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,57000,Bajo
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,62000,Bajo
Chevrolet,Corvette Stingray,2014,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,58000,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,68160,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,64160,Bajo
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,83000,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,63160,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,64000,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,55000,Bajo
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,87650,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,73450,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,64450,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,69450,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,60000,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,59000,Bajo
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,82270,Bajo
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,86270,Bajo
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,91650,Bajo
Chevrolet,Corvette,2015,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,79000,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,68450,Bajo
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,59160,Bajo
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,88345,Bajo
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,79400,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,70145,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,65145,Bajo
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,83400,Bajo
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,82965,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,68855,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,59855,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,64400,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,74145,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,63855,Bajo
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,86965,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,59400,Bajo
Chevrolet,Corvette,2016,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,92345,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,60400,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,64855,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,12.329176,7.227448000000001,69145,Bajo
Chevrolet,Corvette,2016,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,12.329176,7.227448000000001,55400,Bajo
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,87015,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,59905,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,74195,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,65195,Bajo
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,88395,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,59450,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,55450,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,70195,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,68905,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,65450,Bajo
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,79450,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,69905,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,69195,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),455.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,63905,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,69450,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,60450,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,79195,Bajo
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,92395,Bajo
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Convertible,9.353168,6.37716,83450,Bajo
Chevrolet,Corvette,2017,premium unleaded (required),650.0,8.0,MANUAL,"Factory Tuner,High-Performance",Compact,Coupe,9.353168,6.37716,83015,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,73905,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Convertible,10.6286,6.802304,64450,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,64905,Bajo
Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,High-Performance,Compact,Coupe,10.6286,6.802304,75195,Bajo
Audi,Coupe,1990,regular unleaded,164.0,5.0,MANUAL,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,9.353168,6.802304,2000,Bajo
Audi,Coupe,1991,regular unleaded,164.0,5.0,MANUAL,"Hatchback,Factory Tuner,Luxury,Performance",Compact,2dr Hatchback,9.353168,6.37716,2000,Bajo
Maserati,Coupe,2004,premium unleaded (required),390.0,8.0,MANUAL,"Exotic,Luxury,High-Performance",Compact,Coupe,6.37716,4.2514400000000006,81013,Bajo
Maserati,Coupe,2004,premium unleaded (required),390.0,8.0,AUTOMATED_MANUAL,"Exotic,Luxury,High-Performance",Compact,Coupe,6.802304,4.2514400000000006,85174,Bajo
Maserati,Coupe,2005,premium unleaded (required),385.0,8.0,AUTOMATED_MANUAL,"Exotic,Luxury,High-Performance",Compact,Coupe,6.802304,4.676584,86877,Bajo
Maserati,Coupe,2005,premium unleaded (required),385.0,8.0,MANUAL,"Exotic,Luxury,High-Performance",Compact,Coupe,6.37716,4.2514400000000006,82633,Bajo
Maserati,Coupe,2006,premium unleaded (required),390.0,8.0,AUTOMATED_MANUAL,"Exotic,Luxury,High-Performance",Compact,Coupe,7.652592,4.676584,87577,Bajo
Maserati,Coupe,2006,premium unleaded (required),390.0,8.0,MANUAL,"Exotic,Luxury,High-Performance",Compact,Coupe,7.227448000000001,5.1017280000000005,79900,Bajo
Volvo,Coupe,1991,regular unleaded,188.0,4.0,AUTOMATIC,Luxury,Midsize,Coupe,8.502880000000001,7.227448000000001,2000,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,12.75432,9.353168,26470,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,9.778312,23120,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,12.75432,9.353168,30620,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,9.778312,29370,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,12.75432,9.353168,24370,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,12.75432,9.353168,29120,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,12.75432,9.353168,29820,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,9.778312,28570,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,9.778312,25220,Bajo
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,9.778312,27870,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,32895,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.454896000000002,11.478888000000001,23445,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,30895,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.454896000000002,11.478888000000001,25545,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,29395,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,24695,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,26795,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.454896000000002,11.478888000000001,28145,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.454896000000002,11.478888000000001,31645,Bajo
Honda,CR-V,2015,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.454896000000002,11.478888000000001,29645,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,10.6286,27295,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,10.6286,31245,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,32095,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,10.6286,25845,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,28445,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,29945,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,10.6286,25045,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,24545,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,25995,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,10.6286,33395,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,14.029752,11.053744,23745,Bajo
Honda,CR-V,2016,regular unleaded,185.0,4.0,AUTOMATIC,Crossover,Compact,4dr SUV,13.179464000000001,10.6286,29745,Bajo
Honda,CR-Z,2014,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,20645,Medio 
Honda,CR-Z,2014,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,19995,Medio 
Honda,CR-Z,2014,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,23340,Medio 
Honda,CR-Z,2014,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,21840,Medio 
Honda,CR-Z,2014,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,22490,Medio 
Honda,CR-Z,2014,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,23990,Medio 
Honda,CR-Z,2015,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,21990,Medio 
Honda,CR-Z,2015,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,24140,Medio 
Honda,CR-Z,2015,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,23490,Medio 
Honda,CR-Z,2015,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,20145,Medio 
Honda,CR-Z,2015,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,20795,Medio 
Honda,CR-Z,2015,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,22640,Medio 
Honda,CR-Z,2016,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,22140,Medio 
Honda,CR-Z,2016,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,24440,Medio 
Honda,CR-Z,2016,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,22790,Medio 
Honda,CR-Z,2016,regular unleaded,130.0,4.0,MANUAL,"Hatchback,Hybrid",Compact,2dr Hatchback,16.155472,13.179464000000001,20295,Medio 
Honda,CR-Z,2016,regular unleaded,130.0,4.0,AUTOMATIC,"Hatchback,Hybrid",Compact,2dr Hatchback,16.580616,15.305184,25090,Medio 
